|1.5  2  3| X |9 8 7 1 2|
|  4  5  6|   |6 5 4 2 4|
|  7  8  9|   |3 2 1 3 5|

|1 2  35| + |9 8 7|
|3 5  61|   |6 5 4|
|7 8 925|   |3 2 1|

|9 8 7|X23
|6 5 4|
|3 2 1|

|9 8 7|X0.5
|6 5 4|
|3 2 1|

|9 8 7|/10
|6 5 4|
|3 2 1|

|9 8 7|T
|6 5 4|
|3 2 1|
|3 1 2|

|954   8   7 32|T
|6   532   4  2|
|3     2 142 14|

|9 8|D
|6 3|

|9 8 7|D
|6 3 4|
|3 2 1|

|2 4 6 7 1|D
|5 1 8 8 2|
|1 7 3 4 3|
|3 9 2 4 4|
|1 6 3 2 5|

|4 7|-1
|2 6|

| 1  1  1 -1|-1
| 1  1 -1  1|
| 1 -1  1  1|
|-1  1  1  1|

|2 4 6 7|-1
|5 1 8 8|
|1 7 3 4|
|3 9 2 4|
